PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
18925,Ezequiel Lavezzi,2175,82.1935483870968
18945,Santiago Gentiletti,810,70.5555555555556
19000,Dante Adrian Senger,156,61.0
19014,Guillaume Ducatel,450,53.3
19020,Christopher Samba,1111,76.92
19232,Rafael Miranda,1169,70.6842105263158
19243,Diego Costa,2617,80.5555555555556
19249,Danilo,2093,76.1081081081081
19264,Evandro Goebel,2360,72.46875
19277,Dinei,770,70.0909090909091
19281,Edivaldo Rojas,524,63.6
19285,Rafael Marques,925,70.8636363636364
19297,Thiago Xavier,926,63.0625
19309,Edson Sitta,376,68.1428571428571
19310,Dyego Rocha Coelho,605,70.3333333333333
19327,Miranda,1118,80.0454545454545
19344,Artur,342,77.2727272727273
19352,Jonathan,2260,73.7222222222222
19353,Fabionn Lopes Patrick,393,63.8333333333333
19370,Rodrigo Arroz,288,65.1666666666667
19372,Bruno China,1022,67.4444444444444
19380,Vinicius Pacheco,527,70.125
19393,Diego,369,71.0
19403,Galatto,490,69.9230769230769
19427,Claudio Pitbull,1492,70.6
19434,Marcelo Boeck,745,71.12
19435,Renan,557,72.3333333333333
19436,Edinho,1664,71.48
19439,Joao Guilherme,619,69.7
19446,Pedro Silva,412,70.5
19488,Rivaldo,392,67.5714285714286
19489,Halisson,396,67.5454545454546
19511,Josue,1136,76.0526315789474
19512,Renan Silva,541,68.3
19515,Cassio,623,68.7727272727273
19524,Claudemir,1177,68.1333333333333
19531,Silva,2212,66.7878787878788
19533,Neymar,1994,83.8
19674,Branko Jelic,388,60.0
19696,Zhi Zheng,473,70.4285714285714
19908,Junmin Hao,363,66.5
20118,Takafumi Akahoshi,1385,66.6153846153846
20125,Hajime Hosogai,1132,72.48
20174,Koki Mizuno,217,72.4
20196,Kisho Yano,231,67.25
20241,Takahito Soma,284,60.2
20276,Hulk,2273,82.5714285714286
20323,Carciano,130,67.0
20325,Marcelo Silva,823,68.2352941176471
20329,Rafael Dias,922,63.1428571428572
20342,Rafael Santos,357,68.5714285714286
20396,Felipe Santana,1573,74.6785714285714
20399,Dudu,171,60.6666666666667
20401,Michel Bastos,2278,79.3448275862069
20445,Ederson Tormena,648,63.3333333333333
